"CourseId"|"CourseName"|"CourseCategoryId"|"CourseTitle"|"CourseDescription"|"CourseCredits"|"CourseReferenceId"
1|"ACCT I S 100"|100|"Introductory Financial Accounting"|"Examines generally accepted accounting principles for measurement and reporting of financial information in a balance sheet, income statement, and statement of cash flows; introduction to analysis and interpretation of financial accounting data for decision-making purposes. "|"3"|2983
2|"ACCT I S 211"|211|"Introductory Managerial Accounting"|"Managerial accounting concepts relevant for decision-making; use of accounting information for planning, decision-making, and control of business operations in various management and business environments."|"3"|2984
3|"ACCT I S 300"|300|"Accounting Principles"|"Examines both financial and managerial accounting for business decisions. Emphasizes preparation and interpretation of financial statements, analysis of financial information, determination of costs for products and services, and use of accounting information for planning and control of business operations. "|"3"|2985
4|"ACCT I S 301"|301|"Financial Reporting I"|"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and income determination, preparation and interpretation of financial statements, and related disclosure requirements."|"3"|2986
5|"ACCT I S 302"|302|"Financial Reporting II"|"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes. "|"3"|2987
6|"ACCT I S 310"|310|"Cost Management Systems."|"Design of actual and standard cost systems for reporting product costs in job costing, process costing, and activity costing production environments. Overhead allocation methods. Budgeting and profit planning procedures. Techniques for variance analysis and performance evaluation. Behavioral considerations in the design and use of cost accounting information systems. "|"3"|2989
7|"ACCT I S 329"|329|"Taxation: Concepts for Business and Personal Planning"|"An introduction to the U.S. income taxation concepts with emphasis on business and personal planning strategies. Taxes are placed in a framework which considers all costs of doing business. Includes approaches and skills needed to prepare individual, corporate, and partnership income tax returns."|"3"|2991
8|"ACCT I S 340"|340|"Accounting Systems"|"Principles and problems of system design; organization for accounting control, internal control procedures and internal reports. Developing control, security, and auditability into information system applications. "|"3"|2992
9|"ACCT I S 399"|399|"Reading and Research-Accounting"|"Individual work suited to the needs of undergraduate students may be arranged with a faculty member. "|"1-6"|2996
10|"ACCT I S 406"|406|"Advanced Financial Reporting"|"Theoretical, procedural, and practical issues associated with the preparation of financial statements of alternative reporting entities, including the accounting for mergers and acquisitions, consolidations, foreign operations, and complex financial instruments. "|"3"|2997
11|"ACCT I S 600"|600|"Accountancy Internship and Practice Research"|"An opportunity to experience a professional accounting practice first hand and to integrate this experience with the curriculum. "|"3-6"|2999
12|"ACCT I S 601"|601|"Professional Practice Issues in Accounting, Auditing, and Taxation"|"Study of current accounting and audit issues within a case context. Students will be required to perform computerized research, analyze topical accounting and audit issues, and make case presentations. "|"3"|3000
13|"ACCT I S 603"|603|"Financial Statement Analysis"|"Analysis and interpretation of financial statements, including profitability and ratio analysis, cash flow analysis, accounting-based equity valuation, market impact of accounting choices, earnings quality, earnings management, mergers and acquisitions, intangibles, accounting-based trading strategies, accounting and credit ratings, and international accounting. "|"3"|3001
14|"ACCT I S 620"|620|"Fundamentals of Taxation"|"Application of federal tax provisions and administrative rules common to most taxpayers with introductions to rules specific to corporations, pass-through entities, and individuals."|"3"|3006
15|"ACCT I S 621"|621|"Corporate and Advanced Taxation"|"""Application of federal tax provisions and administrative rules pertaining to corporations and shareholders, including elective provisions for """"S"""" corporations. Emphasis on tax planning and the consequences of corporate and shareholder decisions. """|"3"|3007
16|"ACCT I S 630"|630|"Audit and Assurance Services"|"Evolution of assurance services; role of assurance services as part of corporate governance; professional standards and ethical concepts; evidence concepts and evaluation of evidence, business and information technology risk analysis, the audit risk model, assurance reports, and development of audit and assurance programs. "|"3"|3010
17|"ACCT I S 640"|640|"Foundation in Accounting Analytics"|"Analytics has become an integral part of accounting to support decision making, coordination and control, and compliance with regulations. Being able to identify and pursue relevant questions using data is a critical skill for new hires, as is the ability to successfully communicate one's findings. This pursuit and communication requires a strong facility with a variety of analytics technologies."|"3"|26130
18|"ACCT I S 700"|700|"Financial Accounting"|"Measurement and reporting guidelines underlying preparation of general purpose financial statements. Explore current measurement and reporting issues. Analyze and interpret financial statement data for investment, lending, and related decisions. "|"2-3"|3016
19|"ACCT I S 701"|701|"Financial Reporting I"|"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and liability valuations and their relationships to income determination, preparation and interpretation of financial statements, and related disclosure requirements. "|"3"|3017
20|"ACCT I S 702"|702|"Financial Reporting II"|"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and orther external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes. "|"3"|3018
21|"ACCT I S 706"|706|"Advanced Financial Reporting"|"Accounting principles related to formation, maintenance, expansion, contraction and liquidation of the business enterprise. "|"3"|3019
22|"ACCT I S 710"|710|"Managerial Accounting"|"Interpretation and use of accounting data for management planning, decision making and control. Consideration of cost-volume-profit relationships, relevant costs, variable (direct) costing, activity-based costing, transfer pricing and performance evaluation of segments of the firm. "|"2-3"|3022
23|"ACCT I S 711"|711|"Strategic Cost Management"|"Development and analysis of cost and other performance measurement information for managerial planning, control, and decision-making. Integration of information needs for various managerial functions. "|"2"|19500
24|"ACCT I S 722"|722|"Taxation of Pass-Through Entities"|"Analysis of federal tax provisions and administrative rules regarding pass-through entities, such as partnerships, S-corporations, and limited liability companies; including their application to entity formation and operation, property and ownership basis, distributions, and interest transfers. "|"3"|3024
25|"ACCT I S 724"|724|"Research and Administrative Issues in Taxation"|"Methodologies and tools for tax research; utilization of tax research tools; preparation of investigative reports; professional and interprofessional responsibilities; administrative procedures and techniques. "|"3"|3026
26|"ACCT I S 725"|725|"Taxation of Cross-Jurisdictional Transactions"|"An introduction to international and multistate tax issues. Topics covered may include tax treaties, foreign tax credit provisions, Subpart F rules, multistate apportionment, nexus, sales tax, and use tax. "|"3"|21578
27|"ACCT I S 726"|726|"Advanced Corporate Taxation"|"The application of federal tax law to a variety of complex corporate tax topics and analysis on corporations and their shareholders. Primary legal sources of the code, regulations, and case law are applied to determine the tax treatment for advanced topics such as: 1) Tax and non-tax factors considered by buyers and sellers in both stock and asset acquisitions, 2) Taxable asset acquisitions, 3) Consolidations, 4) Divestitures and divisive D reorganizations, and 5) Codification of the economic substance doctrine. The emphasis of the class  is on tax planning and the consequences of corporate and shareholder decisions. "|"3"|24338
