"ProfessorId"|"ProfessorName"
1|" Rebecca Lynn Addington"
2|" Paul Gerald Ahlquist"
3|" Nihal Ahmad"
4|" Oguzhan Alagoz"
5|" Samer N Alatout"
6|" Mark Richard Albertini"
7|" Andrew Lafayette Alexander"
8|" Caitilyn Allen"
9|" Araceli Alonso"
10|" Jennifer M Asmus"
11|" Alan David Attie"
12|" Craig S Atwood"
13|" Susan E Babcock"
14|" Vaishali P Bakshi"
15|" Suman Banerjee"
16|" Matthew Isaac Banks"
17|" Paul R Barford"
18|" Amy Josephine Barger"
19|" Janet Mc Cray Batzli"
20|" Leonelo E Bautista"
21|" Sebastian York Bednarek"
22|" David J Beebe"
23|" Michael M Bell"
24|" Ellison Bentley"
25|" Grace Elisabeth Boekhoff-Falk"
26|" Riccardo Bonazza"
27|" Nigel Boston"
28|" Laird Boswell"
29|" Dan Botez"
30|" Glenn Robert Bower"
31|" Dominique Brossard"
32|" Thomas C Brunold"
33|" Stefania Buccini"
34|" Wade A Bushman"
35|" Pascale Carayon"
36|" Ronnie Dean Carda"
37|" Alan Robert Carroll"
38|" Silvia Cavagnero"
39|" Guang-Hong Chen"
40|" Bradley Thomas Christian"
41|" Ruthanne Chun"
42|" Moo K Chung"
43|" Roseanne Clark"
44|" Nigel B Cook"
45|" Joshua J Coon"
46|" Elizabeth A Craig"
47|" Cameron Currie"
48|" Charles Joseph Czuprynski"
49|" Richard J Davidson"
50|" Larry Albert De Werd"
51|" Christopher Demarco"
52|" Samuel F Dennis Jr"
53|" Patricia Grace Devine"
54|" Amy Trentham Dietz"
55|" Greg Downey"
56|" David Drake"
57|" Maureen Suzanne Durkin"
58|" Mark D Ediger"
59|" Mustafa Emirbayer"
60|" Charles Engel"
61|" Nan Enstad"
62|" Chang-Beom Eom"
63|" Mark Alan Eriksson"
64|" Zsuzsanna Fabry"
65|" Sean Bedillion Fain"
66|" Donna Fernandez"
67|" Myra Marx Ferree"
68|" Raymond John Fonck"
69|" Robert F Freeland"
70|" Paul Dean Friesen"
71|" Joan Fujimura"
72|" John Sill Gallagher III"
73|" Audrey P. Gasch"
74|" Mary Louise Gomez"
75|" Timothy M Gomez"
76|" Laurel B Goodwin"
77|" Padma Gopalan"
78|" Lisa B Gralnick"
79|" Claudio Gratton"
80|" Anne Elizabeth Griep"
81|" Yevgenya Grinblat"
82|" Sundaram Gunasekaran"
83|" Timothy Jon Hall"
84|" Richard Roger Halverson"
85|" Robert John Hamers"
86|" Jo Emily Handelsman"
87|" John Alan Harrington"
88|" Aki Hashimoto"
89|" Kathryn Hendley"
90|" Matthew F Herndon"
91|" John Hitchcock"
92|" Robert G Howard"
93|" Evelyn Anne Howell"
94|" Richard Hsung"
95|" Christina Marie Hull"
96|" Anna Huttenlocher"
97|" Akihiro Ikeda"
98|" Jerlando F.L. Jackson"
99|" Meyer B Jackson"
100|" Lea Jacobs"
101|" Thomas Jahns"
102|" Robert Jeraj"
103|" Somesh Jha"
104|" Hongrui Jiang"
105|" Song Jin"
106|" Stephen M Johnson"
107|" Albrecht Karle"
108|" Yoshihiro Kawaoka"
109|" James L Keck"
110|" Theresa M Kelley"
111|" Joseph William Kemnitz"
112|" Christina M. Kendziorski"
113|" Hasan Khatib"
114|" Laura Lee Kiessling"
115|" Jee-Seon Kim"
116|" Brian Wayne Kirkpatrick"
117|" Bruce Steven Klein"
118|" Irena Knezevic"
119|" Kelli Faye Koltyn"
120|" Sindo Kou"
121|" Patrick J Krysan"
122|" Bret Robert Larget"
123|" Elizabeth Larson"
124|" James Marion Lattis"
125|" Diane Ruth Lauver"
126|" James Edward Lawler"
127|" Alex Lazarian"
128|" Carol Eunmi Lee"
129|" Youngsook Lee"
130|" Maria Lepowsky"
131|" Lingjun Li"
132|" Ruth Y Litovsky"
133|" Miron Livny"
134|" Wei-Yin Loh"
135|" Andrew J Lokuta"
136|" Robert Scott Lutz"
137|" Zhenqiang Ma"
138|" Marie-Louise Mares"
139|" Jonathan Edward Martin"
140|" Thomas F J Martin"
141|" Suresh Marulasiddappa"
142|" Andrea H Mason"
143|" Kristyn Masters"
144|" Dan Mc Cammon"
145|" Douglas Gordon McNeel"
146|" Sandro Mecozzi"
147|" Ruben Medina"
148|" Julie C Mitchell"
149|" Shigeki Miyamoto"
150|" Alfonso Morales"
151|" Junko Mori"
